japanese,pronounce,english
溜まる,たまる,"to collect, to gather, to save, to accumulate, to pile up"
脇,わき,"① side, aside ② armpit ③ back-burner"
嗅ぐ,かぐ,"to sniff, to smell"
埃,ほこり,dust
曖昧,あいまい,"① vague, ambiguous, unclear ② fuzzy"
茹でる,ゆでる,to boil
贅沢,ぜいたく,"① luxury, extravagance ② to live in luxury"
ためらう,ためらう,to hesitate
騙す,だます,"to trick, to cheat, to deceive"
剃る,そる,to shave
いや,いや,"no, nay, well"
頬,ほお,cheek (of face)
ある,ある,"a certain ..., some ..."
籠,かご,"basket, cage"
せっかく,せっかく,"with trouble, at great pains, long-awaited"
たびたび,たびたび,"often, repeatedly, frequently"
匂い,におい,"① odour, odor, scent, smell, stench ② aura, whiff, smacks of ..., sense, flavour, flavor"
吠える,ほえる,"to bark, to bay, to howl, to bellow, to roar, to cry"
まれ,まれ,"rare, seldom"
かかる,かかる,to suffer from
せい,せい,"cause, reason, fault"
つまり,つまり,"in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate"
ふもと,ふもと,"the foot, the bottom, the base (of a mountain)"
あちこち,あちこち,"① here and there ② to get things in the wrong order (back to front), to become muddled up"
あれこれ,あれこれ,"one thing or another, this and that, this or that"
おじさん,おじさん,"① uncle ② old man, mister (vocative)"
あら,あら,"oh, ah"
うろうろ,うろうろ,"loiteringly, aimless wandering"
うんざり,うんざり,"tedious, boring, being fed up with"
おや,おや,"oh!, oh?, my!"
すっきり,すっきり,"① clearly, refreshed ② shapely, neatly, refinedly ③ cleanly, without trouble ④ clearly, plainly, distinctly ⑤ completely, thoroughly ⑥ not at all (with negative sentence), not even slightly"
せめて,せめて,"at least, at most"
下り,くだり,"① down-train (going away from Tokyo) ② down-slope, downward going"
下車,げしゃ,"alighting (from train, bus, etc.), getting off"
何しろ,なにしろ,"at any rate, anyhow, anyway, in any case"
学年,がくねん,"year in school, grade in school"
月日,つきひ,"time, years, days"
見学,けんがく,"inspection, study by observation, field trip"
見出し,みだし,"heading, caption, subtitle, index"
見本,みほん,sample
高める,たかめる,"to raise, to lift, to boost, to enhance"
出入り,でいり,"in and out, coming and going, free association, income and expenditure, debits and credit"
出来上がる,できあがる,"① to be completed, to be finished, to be ready (e.g. to serve or eat) ② to be very drunk"
小学生,しょうがくせい,"elementary school student, primary school student, grade school student"
上り,のぼり,"① ascent, climbing, ascending (path), climb ② up-train (e.g. going to Tokyo) ③ northward (towards Tokyo)"
上る,のぼる,"① to ascend, to go up, to climb ② to ascend (as a natural process, e.g. the sun), to rise ③ to go to (the capital) ④ to be promoted ⑤ to add up to ⑥ to advance (in price) ⑦ to swim up (a river), to sail up ⑧ to come up (on the agenda)"
上下,じょうげ,"high and low, up and down, unloading and loading, praising and blaming"
水分,すいぶん,moisture
生ずる,しょうずる,"to cause, to arise, to be generated"
生年月日,せいねんがっぴ,birth date
前,ぜん,"① the last (i.e. immediately preceding) (e.g. ""the last mayor""), previous, one-time, former ② (before the name of an era) pre- (e.g. ""premodern"") ③ before, earlier"
前後,ぜんご,"around, throughout, front and back, before and behind, before and after, about that (time), longitudinal, context, nearly, approximately"
大気,たいき,atmosphere
大小,だいしょう,"① sizes (various), large and small ② daisho (matched pair of long and short swords) ③ large and small drums ④ long months and short months"
大木,たいぼく,large tree
中間,ちゅうかん,"middle, midway, interim"
中年,ちゅうねん,"middle-age, middle age, midlife, one's middle years"
長女,ちょうじょ,eldest daughter
長男,ちょうなん,eldest son
東西,とうざい,"① East and West ② whole country ③ Orient and Occident, Western and Eastern ④ Your attention, please!"
南北,なんぼく,south and north
日の出,ひので,sunrise
日時,にちじ,date and time
入社,にゅうしゃ,entry to a company
分,ぶん,"① part, segment, share, ration ② rate ③ degree, one's lot, one's status, relation, duty, kind, lot ④ in proportion to, just as much as"
毎,まい,"every (usu. with events, e.g. every weekend), each"
来日,らいにち,"arrival in Japan, coming to Japan, visit to Japan"
下ろす,おろす,"① to take down (e.g. flag), to launch (e.g. boat), to drop, to lower (e.g. ladder), to let (a person) off, to unload, to discharge ② to drop off (a passenger from a vehicle), to let (a person) off ③ to withdraw money from an account ④ to wear (clothing) for the first time ⑤ to fillet (e.g. a fish)"
何となく,なんとなく,"somehow or other, for some reason or another"
がる,がる,① to feel (on adj-stem to represent a third party's apparent emotion) ② to behave as if one were
うんと,うんと,"① a great deal, very much, a lot ② with a great amount of effort"
それなのに,それなのに,"and yet, despite this, but even so, but even then, however, nevertheless, for all that, notwithstanding that"
小,しょう,"① smallness, small item ② short month (i.e. having fewer than 31 days) ③ elementary school ④ younger or inferior (of two items or people with the same name)"
しばしば,しばしば,blinking repeatedly
以後,いご,"① after this, from now on, hereafter ② thereafter, since (verb) (after -te form of verb), after (time), since (then)"
意地悪,いじわる,"malicious, ill-tempered, unkind"
引き分け,ひきわけ,"draw (in competition), tie game"
映る,うつる,"to be reflected, to harmonize with (harmonise), to come out (photo), to be projected"
英文,えいぶん,"① sentence in English, article in English, English text ② English literature (study of)"
屋外,おくがい,"outdoors, alfresco"
下町,したまち,"Shitamachi, lower parts of town"
下品,げひん,"vulgarity, meanness, indecency, coarseness"
家屋,かおく,"house, building"
海洋,かいよう,ocean
開会,かいかい,opening of a meeting
学会,がっかい,"scientific society, academic meeting, academic conference"
学力,がくりょく,"scholarship, knowledge, literary ability"
帰す,かえす,"to send (someone) back, to send (someone) home"
休業,きゅうぎょう,"closed (e.g. store), business suspended, shutdown, holiday"
強引,ごういん,"overbearing, coercive, pushy, forcible, high-handed"
強気,つよき,"firm, strong"
近代,きんだい,"present day, modern times"
金魚,きんぎょ,goldfish
空中,くうちゅう,"sky, air"
言い出す,いいだす,"to start talking, to speak, to tell, to propose, to suggest, to break the ice"
工事,こうじ,"construction work, construction, work (related to construction, e.g. painting, concrete-pouring, etc.)"
広める,ひろめる,"to broaden, to propagate"
行事,ぎょうじ,"event, function"
行方,ゆくえ,"① (one's) whereabouts ② course, direction"
国立,こくりつ,national
作者,さくしゃ,"author, authoress"
仕上がる,しあがる,"to be finished, to be completed, to be done"
使い,つかい,"errand, message, messenger, bearer, use, usage, trainer, tamer, mission, familiar spirit, going as envoy"
死体,したい,"dead body, corpse, cadaver"
私立,しりつ,private (establishment)
写る,うつる,"to be photographed, to be projected"
手前,てまえ,"① before, this side ② one's standpoint, one's appearance ③ we ④ you"
集まる,あつまる,"to gather, to collect, to assemble"
重たい,おもたい,"heavy, massive, serious, important, severe, oppressed"
重なる,かさなる,"to be piled up, lie on top of one another, overlap each other"
重ねる,かさねる,"to pile up, to put something on another, to heap up, to add, to repeat"
重力,じゅうりょく,gravity
出場,しゅつじょう,"(stage) appearance, participation, performance"
上品,じょうひん,"elegant, refined, polished"
心理,しんり,mentality
真っ先,まっさき,"the head, the foremost, beginning"
真空,しんくう,"vacuum, hollow, empty"
人事,じんじ,"personnel affairs, human affairs, human resources, HR"
水着,みずぎ,"bathing suit, swimsuit, swimmers"
生意気,なまいき,"impertinent, saucy, cheeky, conceit, audacious, brazen"
青少年,せいしょうねん,"youth, young person"
送料,そうりょう,"postage, carriage"
大学院,だいがくいん,graduate school
大工,だいく,carpenter
題名,だいめい,title
知人,ちじん,"friend, acquaintance"
地質,ちしつ,geological features
地味,じみ,"plain, simple, subdued, sober"
地名,ちめい,place name
着せる,きせる,"① to put clothes on (someone) ② to plate, to gild, to veneer ③ to accuse (of some crime), to give (a bad name)"
中古,ちゅうこ,"① used, second-hand, old ② Middle Ages"
中世,ちゅうせい,"Middle Ages, mediaeval times"
注,ちゅう,"annotation, explanatory note, comment"
転がる,ころがる,"to roll, to tumble"
電力,でんりょく,electric power
東洋,とうよう,Orient
同時,どうじ,"simultaneous(ly), concurrent, same time, synchronous, together"
特色,とくしょく,"characteristic, feature, idiosyncrasy, personal colour"
特長,とくちょう,"forte, merit"
日帰り,ひがえり,day trip
年度,ねんど,"year, fiscal year, school year, term"
売店,ばいてん,"shop, stand"
売買,ばいばい,"trade, buying and selling"
発電,はつでん,generation (e.g. power)
発売,はつばい,"sale, offering for sale, release (for sale), launch (product)"
飯,めし,"① meals, food ② cooked rice ③ one's livelihood"
着ける,つける,"① to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment) ② to furnish (a house with) ③ to wear, to put on ④ to keep a diary, to make an entry ⑤ to appraise, to set (a price) ⑥ to bring alongside ⑦ to place (under guard or doctor) ⑧ to follow, to shadow ⑨ to load, to give (courage to) ⑩ to keep (an eye on) ⑪ to establish (relations or understanding) ⑫ to turn on (light)"
文体,ぶんたい,literary style
歩,ほ,"① step, stride ② counter for steps"
方言,ほうげん,dialect
毎度,まいど,① each time ② thank you for your continued patronage
名作,めいさく,masterpiece
目安,めやす,"① criterion, standard, yardstick, reference, aim ② rough estimate, approximation"
目下,めした,"subordinate, subordinates, inferior, inferiors, junior"
問い,とい,"question, query"
夕日,ゆうひ,"(in) the evening sun, setting sun"
料,りょう,"material, charge, rate, fee"
力強い,ちからづよい,"① powerful, strong, forceful, vigorous ② reassuring, encouraging"
近々,ちかぢか,"soon, nearness, before long"
真っ白,まっしろ,pure white
弟子,でし,"pupil, disciple, adherent, follower, apprentice, young person, teacher's student-helper"
品,ひん,"① thing, article, goods ② dignity, class, quality ③ counter for meal courses ④ flirtatiousness, coquetry"
方々,かたがた,"① they (of people), gentlemen (of the ...) ② you (usu. plural) ③ various"
